size,m,n,flop,throughput,bytes,GB_per_s,nanoseconds
16,16,16,8.192e+03,2.101e+00,3.136e+03,8.041e-01,3.900e+03
32,32,32,3.277e+04,2.061e+00,1.235e+04,7.769e-01,1.590e+04
48,48,48,7.373e+04,2.059e+00,2.771e+04,7.741e-01,3.580e+04
64,64,64,1.311e+05,2.061e+00,4.922e+04,7.738e-01,6.360e+04
80,80,80,2.048e+05,2.048e+00,7.686e+04,7.686e-01,1.000e+05
96,96,96,2.949e+05,2.051e+00,1.107e+05,7.695e-01,1.438e+05
112,112,112,4.014e+05,2.048e+00,1.506e+05,7.683e-01,1.960e+05
128,128,128,5.243e+05,1.930e+00,1.967e+05,7.239e-01,2.717e+05
144,144,144,6.636e+05,2.049e+00,2.489e+05,7.684e-01,3.239e+05
160,160,160,8.192e+05,1.989e+00,3.073e+05,7.461e-01,4.118e+05
176,176,176,9.912e+05,2.043e+00,3.718e+05,7.661e-01,4.853e+05
192,192,192,1.180e+06,2.041e+00,4.424e+05,7.655e-01,5.780e+05
208,208,208,1.384e+06,2.040e+00,5.192e+05,7.652e-01,6.786e+05
224,224,224,1.606e+06,2.040e+00,6.022e+05,7.651e-01,7.871e+05
240,240,240,1.843e+06,2.039e+00,6.913e+05,7.648e-01,9.039e+05
256,256,256,2.097e+06,2.037e+00,7.865e+05,7.640e-01,1.029e+06
272,272,272,2.367e+06,2.038e+00,8.879e+05,7.644e-01,1.162e+06
288,288,288,2.654e+06,2.038e+00,9.954e+05,7.642e-01,1.303e+06
304,304,304,2.957e+06,2.038e+00,1.109e+06,7.642e-01,1.451e+06
320,320,320,3.277e+06,2.036e+00,1.229e+06,7.635e-01,1.610e+06
336,336,336,3.613e+06,2.037e+00,1.355e+06,7.638e-01,1.774e+06
352,352,352,3.965e+06,2.038e+00,1.487e+06,7.641e-01,1.946e+06
368,368,368,4.334e+06,2.037e+00,1.625e+06,7.640e-01,2.127e+06
384,384,384,4.719e+06,2.037e+00,1.770e+06,7.639e-01,2.316e+06
400,400,400,5.120e+06,2.038e+00,1.920e+06,7.643e-01,2.512e+06
416,416,416,5.538e+06,2.038e+00,2.077e+06,7.644e-01,2.717e+06
432,432,432,5.972e+06,2.038e+00,2.240e+06,7.644e-01,2.930e+06
448,448,448,6.423e+06,2.038e+00,2.409e+06,7.643e-01,3.151e+06
464,464,464,6.889e+06,2.037e+00,2.584e+06,7.640e-01,3.382e+06
480,480,480,7.373e+06,2.037e+00,2.765e+06,7.639e-01,3.619e+06
496,496,496,7.873e+06,2.037e+00,2.952e+06,7.638e-01,3.865e+06
512,512,512,8.389e+06,2.018e+00,3.146e+06,7.568e-01,4.157e+06
528,528,528,8.921e+06,2.034e+00,3.345e+06,7.627e-01,4.386e+06
544,544,544,9.470e+06,2.035e+00,3.551e+06,7.633e-01,4.652e+06
560,560,560,1.004e+07,2.035e+00,3.763e+06,7.632e-01,4.931e+06
576,576,576,1.062e+07,2.037e+00,3.981e+06,7.639e-01,5.212e+06
592,592,592,1.121e+07,2.037e+00,4.206e+06,7.639e-01,5.506e+06
608,608,608,1.183e+07,2.037e+00,4.436e+06,7.639e-01,5.807e+06
624,624,624,1.246e+07,2.038e+00,4.673e+06,7.641e-01,6.115e+06
640,640,640,1.311e+07,2.037e+00,4.915e+06,7.639e-01,6.434e+06
656,656,656,1.377e+07,2.037e+00,5.164e+06,7.639e-01,6.761e+06
672,672,672,1.445e+07,2.036e+00,5.419e+06,7.636e-01,7.096e+06
688,688,688,1.515e+07,2.037e+00,5.680e+06,7.639e-01,7.436e+06
704,704,704,1.586e+07,2.038e+00,5.947e+06,7.641e-01,7.784e+06
720,720,720,1.659e+07,2.036e+00,6.221e+06,7.637e-01,8.146e+06
736,736,736,1.733e+07,2.033e+00,6.500e+06,7.623e-01,8.528e+06
752,752,752,1.810e+07,2.035e+00,6.786e+06,7.630e-01,8.894e+06
768,768,768,1.887e+07,2.034e+00,7.078e+06,7.626e-01,9.281e+06
784,784,784,1.967e+07,2.035e+00,7.376e+06,7.631e-01,9.666e+06
800,800,800,2.048e+07,2.037e+00,7.680e+06,7.638e-01,1.005e+07
816,816,816,2.131e+07,2.034e+00,7.990e+06,7.626e-01,1.048e+07
832,832,832,2.215e+07,2.036e+00,8.307e+06,7.635e-01,1.088e+07
848,848,848,2.301e+07,2.033e+00,8.629e+06,7.624e-01,1.132e+07
864,864,864,2.389e+07,2.034e+00,8.958e+06,7.628e-01,1.174e+07
880,880,880,2.478e+07,2.035e+00,9.293e+06,7.631e-01,1.218e+07
896,896,896,2.569e+07,2.034e+00,9.634e+06,7.628e-01,1.263e+07
912,912,912,2.662e+07,2.036e+00,9.981e+06,7.635e-01,1.307e+07
928,928,928,2.756e+07,2.035e+00,1.033e+07,7.632e-01,1.354e+07
944,944,944,2.852e+07,2.034e+00,1.069e+07,7.626e-01,1.402e+07
960,960,960,2.949e+07,2.035e+00,1.106e+07,7.632e-01,1.449e+07
976,976,976,3.048e+07,2.034e+00,1.143e+07,7.629e-01,1.498e+07
992,992,992,3.149e+07,2.034e+00,1.181e+07,7.626e-01,1.548e+07
1008,1008,1008,3.251e+07,2.034e+00,1.219e+07,7.626e-01,1.599e+07
