size,m,n,flop,throughput,bytes,GB_per_s,nanoseconds
16,16,16,6.144e+03,9.752e-01,3.120e+03,4.952e-01,6.300e+03
32,32,32,2.458e+04,9.990e-01,1.234e+04,5.015e-01,2.460e+04
48,48,48,5.530e+04,1.011e+00,2.770e+04,5.063e-01,5.470e+04
64,64,64,9.830e+04,1.007e+00,4.920e+04,5.041e-01,9.760e+04
80,80,80,1.536e+05,1.005e+00,7.685e+04,5.029e-01,1.528e+05
96,96,96,2.212e+05,1.014e+00,1.106e+05,5.071e-01,2.182e+05
112,112,112,3.011e+05,1.012e+00,1.506e+05,5.063e-01,2.974e+05
128,128,128,3.932e+05,6.012e-01,1.967e+05,3.007e-01,6.540e+05
144,144,144,4.977e+05,1.014e+00,2.489e+05,5.073e-01,4.906e+05
160,160,160,6.144e+05,1.016e+00,3.072e+05,5.079e-01,6.049e+05
176,176,176,7.434e+05,1.015e+00,3.718e+05,5.075e-01,7.326e+05
192,192,192,8.847e+05,1.015e+00,4.424e+05,5.076e-01,8.716e+05
208,208,208,1.038e+06,1.014e+00,5.192e+05,5.068e-01,1.024e+06
224,224,224,1.204e+06,1.016e+00,6.022e+05,5.080e-01,1.185e+06
240,240,240,1.382e+06,1.015e+00,6.912e+05,5.074e-01,1.362e+06
256,256,256,1.573e+06,4.068e-01,7.865e+05,2.034e-01,3.866e+06
272,272,272,1.776e+06,1.014e+00,8.879e+05,5.070e-01,1.751e+06
288,288,288,1.991e+06,1.015e+00,9.954e+05,5.074e-01,1.962e+06
304,304,304,2.218e+06,1.014e+00,1.109e+06,5.073e-01,2.186e+06
320,320,320,2.458e+06,1.013e+00,1.229e+06,5.063e-01,2.427e+06
336,336,336,2.710e+06,1.014e+00,1.355e+06,5.068e-01,2.673e+06
352,352,352,2.974e+06,1.014e+00,1.487e+06,5.072e-01,2.932e+06
368,368,368,3.250e+06,1.014e+00,1.625e+06,5.070e-01,3.206e+06
384,384,384,3.539e+06,6.860e-01,1.770e+06,3.430e-01,5.159e+06
400,400,400,3.840e+06,1.014e+00,1.920e+06,5.071e-01,3.786e+06
416,416,416,4.153e+06,1.013e+00,2.077e+06,5.066e-01,4.100e+06
432,432,432,4.479e+06,1.014e+00,2.240e+06,5.069e-01,4.418e+06
448,448,448,4.817e+06,9.989e-01,2.408e+06,4.995e-01,4.822e+06
464,464,464,5.167e+06,1.013e+00,2.584e+06,5.064e-01,5.102e+06
480,480,480,5.530e+06,1.012e+00,2.765e+06,5.058e-01,5.467e+06
496,496,496,5.904e+06,1.014e+00,2.952e+06,5.070e-01,5.824e+06
512,512,512,6.291e+06,1.952e-01,3.146e+06,9.759e-02,3.223e+07
528,528,528,6.691e+06,1.013e+00,3.345e+06,5.067e-01,6.603e+06
544,544,544,7.102e+06,1.013e+00,3.551e+06,5.068e-01,7.008e+06
560,560,560,7.526e+06,1.014e+00,3.763e+06,5.071e-01,7.422e+06
576,576,576,7.963e+06,1.008e+00,3.981e+06,5.041e-01,7.898e+06
592,592,592,8.411e+06,1.014e+00,4.206e+06,5.072e-01,8.292e+06
608,608,608,8.872e+06,1.012e+00,4.436e+06,5.060e-01,8.767e+06
624,624,624,9.345e+06,1.013e+00,4.673e+06,5.063e-01,9.228e+06
640,640,640,9.830e+06,6.165e-01,4.915e+06,3.082e-01,1.595e+07
656,656,656,1.033e+07,1.012e+00,5.164e+06,5.060e-01,1.021e+07
672,672,672,1.084e+07,1.011e+00,5.419e+06,5.056e-01,1.072e+07
688,688,688,1.136e+07,1.010e+00,5.680e+06,5.051e-01,1.124e+07
704,704,704,1.189e+07,9.921e-01,5.947e+06,4.961e-01,1.199e+07
720,720,720,1.244e+07,1.013e+00,6.221e+06,5.067e-01,1.228e+07
736,736,736,1.300e+07,1.012e+00,6.500e+06,5.062e-01,1.284e+07
752,752,752,1.357e+07,1.014e+00,6.786e+06,5.068e-01,1.339e+07
768,768,768,1.416e+07,3.187e-01,7.078e+06,1.593e-01,4.442e+07
784,784,784,1.475e+07,1.014e+00,7.376e+06,5.068e-01,1.455e+07
800,800,800,1.536e+07,1.007e+00,7.680e+06,5.038e-01,1.525e+07
816,816,816,1.598e+07,1.013e+00,7.990e+06,5.065e-01,1.578e+07
832,832,832,1.661e+07,9.873e-01,8.307e+06,4.937e-01,1.683e+07
848,848,848,1.726e+07,1.013e+00,8.629e+06,5.064e-01,1.704e+07
864,864,864,1.792e+07,1.010e+00,8.958e+06,5.051e-01,1.773e+07
880,880,880,1.859e+07,1.012e+00,9.293e+06,5.062e-01,1.836e+07
896,896,896,1.927e+07,6.049e-01,9.634e+06,3.025e-01,3.185e+07
912,912,912,1.996e+07,1.012e+00,9.981e+06,5.058e-01,1.973e+07
928,928,928,2.067e+07,8.769e-01,1.033e+07,4.385e-01,2.357e+07
944,944,944,2.139e+07,6.233e-01,1.069e+07,3.116e-01,3.431e+07
960,960,960,2.212e+07,6.173e-01,1.106e+07,3.087e-01,3.583e+07
976,976,976,2.286e+07,5.160e-01,1.143e+07,2.580e-01,4.431e+07
992,992,992,2.362e+07,5.205e-01,1.181e+07,2.602e-01,4.538e+07
1008,1008,1008,2.439e+07,4.407e-01,1.219e+07,2.203e-01,5.534e+07
