size,m,n,flop,throughput,bytes,GB_per_s,nanoseconds
16,16,16,6.144e+03,8.303e-01,3.120e+03,4.216e-01,7.400e+03
32,32,32,2.458e+04,8.247e-01,1.234e+04,4.140e-01,2.980e+04
48,48,48,5.530e+04,8.253e-01,2.770e+04,4.134e-01,6.700e+04
64,64,64,9.830e+04,8.219e-01,4.920e+04,4.114e-01,1.196e+05
80,80,80,1.536e+05,8.183e-01,7.685e+04,4.094e-01,1.877e+05
96,96,96,2.212e+05,8.204e-01,1.106e+05,4.104e-01,2.696e+05
112,112,112,3.011e+05,8.199e-01,1.506e+05,4.101e-01,3.672e+05
128,128,128,3.932e+05,8.175e-01,1.967e+05,4.088e-01,4.810e+05
144,144,144,4.977e+05,8.177e-01,2.489e+05,4.089e-01,6.086e+05
160,160,160,6.144e+05,8.157e-01,3.072e+05,4.079e-01,7.532e+05
176,176,176,7.434e+05,8.171e-01,3.718e+05,4.086e-01,9.098e+05
192,192,192,8.847e+05,8.155e-01,4.424e+05,4.078e-01,1.085e+06
208,208,208,1.038e+06,8.164e-01,5.192e+05,4.083e-01,1.272e+06
224,224,224,1.204e+06,8.160e-01,6.022e+05,4.081e-01,1.476e+06
240,240,240,1.382e+06,8.151e-01,6.912e+05,4.076e-01,1.696e+06
256,256,256,1.573e+06,8.095e-01,7.865e+05,4.048e-01,1.943e+06
272,272,272,1.776e+06,8.150e-01,8.879e+05,4.075e-01,2.179e+06
288,288,288,1.991e+06,8.146e-01,9.954e+05,4.073e-01,2.444e+06
304,304,304,2.218e+06,8.154e-01,1.109e+06,4.077e-01,2.720e+06
320,320,320,2.458e+06,8.150e-01,1.229e+06,4.075e-01,3.015e+06
336,336,336,2.710e+06,8.144e-01,1.355e+06,4.072e-01,3.327e+06
352,352,352,2.974e+06,8.138e-01,1.487e+06,4.069e-01,3.654e+06
368,368,368,3.250e+06,8.145e-01,1.625e+06,4.073e-01,3.990e+06
384,384,384,3.539e+06,8.081e-01,1.770e+06,4.041e-01,4.379e+06
400,400,400,3.840e+06,8.148e-01,1.920e+06,4.074e-01,4.713e+06
416,416,416,4.153e+06,8.139e-01,2.077e+06,4.069e-01,5.103e+06
432,432,432,4.479e+06,8.144e-01,2.240e+06,4.072e-01,5.500e+06
448,448,448,4.817e+06,8.156e-01,2.408e+06,4.078e-01,5.906e+06
464,464,464,5.167e+06,8.148e-01,2.584e+06,4.074e-01,6.341e+06
480,480,480,5.530e+06,8.133e-01,2.765e+06,4.066e-01,6.799e+06
496,496,496,5.904e+06,8.147e-01,2.952e+06,4.073e-01,7.248e+06
512,512,512,6.291e+06,8.078e-01,3.146e+06,4.039e-01,7.788e+06
528,528,528,6.691e+06,8.141e-01,3.345e+06,4.070e-01,8.219e+06
544,544,544,7.102e+06,8.142e-01,3.551e+06,4.071e-01,8.723e+06
560,560,560,7.526e+06,8.145e-01,3.763e+06,4.073e-01,9.241e+06
576,576,576,7.963e+06,8.127e-01,3.981e+06,4.064e-01,9.798e+06
592,592,592,8.411e+06,8.145e-01,4.206e+06,4.072e-01,1.033e+07
608,608,608,8.872e+06,8.127e-01,4.436e+06,4.064e-01,1.092e+07
624,624,624,9.345e+06,8.143e-01,4.673e+06,4.072e-01,1.148e+07
640,640,640,9.830e+06,8.033e-01,4.915e+06,4.016e-01,1.224e+07
656,656,656,1.033e+07,8.142e-01,5.164e+06,4.071e-01,1.269e+07
672,672,672,1.084e+07,8.123e-01,5.419e+06,4.062e-01,1.334e+07
688,688,688,1.136e+07,8.139e-01,5.680e+06,4.070e-01,1.396e+07
704,704,704,1.189e+07,8.083e-01,5.947e+06,4.041e-01,1.472e+07
720,720,720,1.244e+07,8.133e-01,6.221e+06,4.067e-01,1.530e+07
736,736,736,1.300e+07,8.133e-01,6.500e+06,4.067e-01,1.599e+07
752,752,752,1.357e+07,8.138e-01,6.786e+06,4.069e-01,1.668e+07
768,768,768,1.416e+07,8.039e-01,7.078e+06,4.019e-01,1.761e+07
784,784,784,1.475e+07,8.139e-01,7.376e+06,4.069e-01,1.813e+07
800,800,800,1.536e+07,8.099e-01,7.680e+06,4.049e-01,1.897e+07
816,816,816,1.598e+07,8.121e-01,7.990e+06,4.060e-01,1.968e+07
832,832,832,1.661e+07,8.085e-01,8.307e+06,4.042e-01,2.055e+07
848,848,848,1.726e+07,8.120e-01,8.629e+06,4.060e-01,2.125e+07
864,864,864,1.792e+07,8.097e-01,8.958e+06,4.049e-01,2.213e+07
880,880,880,1.859e+07,8.115e-01,9.293e+06,4.058e-01,2.290e+07
896,896,896,1.927e+07,7.977e-01,9.634e+06,3.988e-01,2.415e+07
912,912,912,1.996e+07,8.109e-01,9.981e+06,4.055e-01,2.462e+07
928,928,928,2.067e+07,8.093e-01,1.033e+07,4.047e-01,2.554e+07
944,944,944,2.139e+07,8.086e-01,1.069e+07,4.043e-01,2.645e+07
960,960,960,2.212e+07,8.031e-01,1.106e+07,4.016e-01,2.754e+07
976,976,976,2.286e+07,8.090e-01,1.143e+07,4.045e-01,2.826e+07
992,992,992,2.362e+07,8.095e-01,1.181e+07,4.048e-01,2.918e+07
1008,1008,1008,2.439e+07,8.105e-01,1.219e+07,4.052e-01,3.009e+07
