size,m,n,flop,throughput,bytes,GB_per_s,nanoseconds
16,16,16,6.144e+03,1.807e+00,3.120e+03,9.176e-01,3.400e+03
32,32,32,2.458e+04,1.768e+00,1.234e+04,8.875e-01,1.390e+04
48,48,48,5.530e+04,1.767e+00,2.770e+04,8.849e-01,3.130e+04
64,64,64,9.830e+04,1.768e+00,4.920e+04,8.849e-01,5.560e+04
80,80,80,1.536e+05,1.766e+00,7.685e+04,8.833e-01,8.700e+04
96,96,96,2.212e+05,1.758e+00,1.106e+05,8.795e-01,1.258e+05
112,112,112,3.011e+05,1.761e+00,1.506e+05,8.806e-01,1.710e+05
128,128,128,3.932e+05,1.756e+00,1.967e+05,8.783e-01,2.239e+05
144,144,144,4.977e+05,1.757e+00,2.489e+05,8.785e-01,2.833e+05
160,160,160,6.144e+05,1.695e+00,3.072e+05,8.478e-01,3.624e+05
176,176,176,7.434e+05,1.751e+00,3.718e+05,8.758e-01,4.245e+05
192,192,192,8.847e+05,1.750e+00,4.424e+05,8.749e-01,5.057e+05
208,208,208,1.038e+06,1.747e+00,5.192e+05,8.738e-01,5.942e+05
224,224,224,1.204e+06,1.748e+00,6.022e+05,8.738e-01,6.891e+05
240,240,240,1.382e+06,1.749e+00,6.912e+05,8.746e-01,7.904e+05
256,256,256,1.573e+06,1.747e+00,7.865e+05,8.734e-01,9.005e+05
272,272,272,1.776e+06,1.747e+00,8.879e+05,8.734e-01,1.017e+06
288,288,288,1.991e+06,1.748e+00,9.954e+05,8.743e-01,1.138e+06
304,304,304,2.218e+06,1.746e+00,1.109e+06,8.731e-01,1.270e+06
320,320,320,2.458e+06,1.747e+00,1.229e+06,8.734e-01,1.407e+06
336,336,336,2.710e+06,1.747e+00,1.355e+06,8.733e-01,1.551e+06
352,352,352,2.974e+06,1.747e+00,1.487e+06,8.737e-01,1.702e+06
368,368,368,3.250e+06,1.747e+00,1.625e+06,8.734e-01,1.861e+06
384,384,384,3.539e+06,1.746e+00,1.770e+06,8.732e-01,2.026e+06
400,400,400,3.840e+06,1.746e+00,1.920e+06,8.728e-01,2.200e+06
416,416,416,4.153e+06,1.748e+00,2.077e+06,8.740e-01,2.376e+06
432,432,432,4.479e+06,1.745e+00,2.240e+06,8.726e-01,2.566e+06
448,448,448,4.817e+06,1.747e+00,2.408e+06,8.735e-01,2.757e+06
464,464,464,5.167e+06,1.747e+00,2.584e+06,8.733e-01,2.958e+06
480,480,480,5.530e+06,1.746e+00,2.765e+06,8.732e-01,3.166e+06
496,496,496,5.904e+06,1.747e+00,2.952e+06,8.734e-01,3.380e+06
512,512,512,6.291e+06,1.727e+00,3.146e+06,8.636e-01,3.643e+06
528,528,528,6.691e+06,1.746e+00,3.345e+06,8.728e-01,3.833e+06
544,544,544,7.102e+06,1.746e+00,3.551e+06,8.728e-01,4.069e+06
560,560,560,7.526e+06,1.746e+00,3.763e+06,8.732e-01,4.310e+06
576,576,576,7.963e+06,1.746e+00,3.981e+06,8.730e-01,4.561e+06
592,592,592,8.411e+06,1.745e+00,4.206e+06,8.726e-01,4.820e+06
608,608,608,8.872e+06,1.744e+00,4.436e+06,8.722e-01,5.086e+06
624,624,624,9.345e+06,1.746e+00,4.673e+06,8.731e-01,5.352e+06
640,640,640,9.830e+06,1.747e+00,4.915e+06,8.733e-01,5.628e+06
656,656,656,1.033e+07,1.745e+00,5.164e+06,8.725e-01,5.918e+06
672,672,672,1.084e+07,1.746e+00,5.419e+06,8.731e-01,6.206e+06
688,688,688,1.136e+07,1.746e+00,5.680e+06,8.731e-01,6.506e+06
704,704,704,1.189e+07,1.746e+00,5.947e+06,8.730e-01,6.812e+06
720,720,720,1.244e+07,1.746e+00,6.221e+06,8.731e-01,7.125e+06
736,736,736,1.300e+07,1.747e+00,6.500e+06,8.735e-01,7.442e+06
752,752,752,1.357e+07,1.746e+00,6.786e+06,8.732e-01,7.772e+06
768,768,768,1.416e+07,1.746e+00,7.078e+06,8.731e-01,8.106e+06
784,784,784,1.475e+07,1.747e+00,7.376e+06,8.733e-01,8.446e+06
800,800,800,1.536e+07,1.747e+00,7.680e+06,8.733e-01,8.794e+06
816,816,816,1.598e+07,1.746e+00,7.990e+06,8.730e-01,9.153e+06
832,832,832,1.661e+07,1.746e+00,8.307e+06,8.730e-01,9.516e+06
848,848,848,1.726e+07,1.744e+00,8.629e+06,8.722e-01,9.894e+06
864,864,864,1.792e+07,1.745e+00,8.958e+06,8.723e-01,1.027e+07
880,880,880,1.859e+07,1.746e+00,9.293e+06,8.731e-01,1.064e+07
896,896,896,1.927e+07,1.746e+00,9.634e+06,8.730e-01,1.104e+07
912,912,912,1.996e+07,1.746e+00,9.981e+06,8.728e-01,1.144e+07
928,928,928,2.067e+07,1.746e+00,1.033e+07,8.733e-01,1.183e+07
944,944,944,2.139e+07,1.746e+00,1.069e+07,8.731e-01,1.225e+07
960,960,960,2.212e+07,1.745e+00,1.106e+07,8.727e-01,1.267e+07
976,976,976,2.286e+07,1.745e+00,1.143e+07,8.727e-01,1.310e+07
992,992,992,2.362e+07,1.744e+00,1.181e+07,8.720e-01,1.354e+07
1008,1008,1008,2.439e+07,1.744e+00,1.219e+07,8.718e-01,1.399e+07
